fused,gyro,mag
-0.059368,-0.075096,-0.210859
-0.062425,-0.075124,-0.210859
-0.061509,-0.075152,-0.015283
-0.06195,-0.073788,-0.15037
-0.064956,-0.073816,-0.210859
-0.062767,-0.073844,0.045834
-0.064249,-0.073872,-0.135501
-0.063438,-0.075291,0.045834
-0.063841,-0.073928,-0.15037
-0.061675,-0.073955,0.045834
-0.063178,-0.073983,-0.135501
-0.061025,-0.074011,0.045834
-0.058916,-0.074039,0.045834
-0.055484,-0.072675,0.045834
-0.052122,-0.071312,0.045834
-0.049597,-0.07134,0.075504
-0.049079,-0.072759,0.045834
-0.047208,-0.072787,0.045834
-0.045374,-0.072814,0.045834
-0.043577,-0.072842,0.045834
-0.045443,-0.07287,-0.135501
-0.043645,-0.072898,0.045834
-0.043105,-0.072926,-0.015283
-0.040122,-0.072954,0.107387
-0.03843,-0.072981,0.045834
-0.036772,-0.073009,0.045834
-0.03637,-0.073037,-0.015283
-0.034456,-0.073065,0.060669
-0.0341,-0.073093,-0.015283
-0.030869,-0.071729,0.060669
-0.035563,-0.073148,-0.19603
-0.036523,-0.071785,-0.15037
-0.037463,-0.070421,-0.15037
-0.037047,-0.070449,-0.015283
-0.03678,-0.071868,0.045834
-0.039079,-0.071896,-0.15037
-0.037408,-0.071924,0.045834
-0.036993,-0.071952,-0.015283
-0.036586,-0.07198,-0.015283
-0.041462,-0.073399,-0.210859
-0.044581,-0.073427,-0.19603
-0.044022,-0.073455,-0.015283
-0.041956,-0.073482,0.060669
-0.046428,-0.074901,-0.19603
-0.04461,-0.074929,0.045834
-0.044051,-0.074957,-0.015283
-0.043207,-0.074985,-0.000489
-0.04508,-0.075013,-0.135501
-0.047213,-0.075041,-0.15037
-0.04794,-0.073677,-0.15037
-0.047314,-0.073705,-0.015283
-0.050612,-0.073733,-0.210859
-0.052635,-0.073761,-0.15037
-0.052056,-0.07518,0.045834
-0.055116,-0.076599,-0.135501
-0.053124,-0.076627,0.045834
-0.052536,-0.078046,0.045834
-0.055729,-0.078074,-0.210859
-0.053725,-0.078102,0.045834
-0.051761,-0.078129,0.045834
-0.049837,-0.078157,0.045834
-0.049314,-0.079576,0.045834
-0.051362,-0.079604,-0.15037
-0.053216,-0.078241,-0.210859
-0.051262,-0.078268,0.045834
-0.053272,-0.078296,-0.15037
-0.057814,-0.079715,-0.210859
-0.055769,-0.079743,0.045834
-0.057688,-0.079771,-0.15037
-0.058205,-0.078408,-0.15037
-0.058738,-0.079827,-0.015283
-0.060598,-0.079855,-0.15037
-0.064697,-0.081274,-0.19603
-0.063877,-0.082693,0.045834
-0.063074,-0.084112,0.045834
-0.066057,-0.08414,-0.210859
-0.06898,-0.084168,-0.210859
-0.066711,-0.084195,0.045834
-0.065414,-0.084223,-0.000489
-0.064439,-0.084251,-0.015283
-0.063187,-0.084279,-0.000489
-0.060737,-0.084307,0.060669
-0.06226,-0.084335,-0.135501
-0.060125,-0.084362,0.045834
-0.06166,-0.08439,-0.135501
-0.060901,-0.085809,0.045834
-0.056836,-0.084446,0.075504
-0.05481,-0.084474,0.045834
-0.052825,-0.084502,0.045834
-0.051805,-0.084529,-0.000489
-0.055013,-0.084557,-0.210859
-0.058158,-0.084585,-0.210859
-0.059732,-0.084613,-0.135501
-0.059011,-0.086032,0.045834
-0.057868,-0.08606,-0.000489
-0.056888,-0.087479,0.060669
-0.057151,-0.088898,-0.000489
-0.055118,-0.088926,0.045834
-0.055687,-0.087562,-0.15037
-0.054906,-0.08759,-0.015283
-0.052919,-0.087618,0.045834
-0.056259,-0.089037,-0.15037
-0.05683,-0.090456,-0.015283
-0.056026,-0.090484,-0.015283
-0.055239,-0.090512,-0.015283
-0.054467,-0.09054,-0.015283
-0.052488,-0.090568,0.045834
-0.053135,-0.091987,-0.015283
-0.053768,-0.093406,-0.015283
-0.055728,-0.093434,-0.15037
-0.057648,-0.093462,-0.15037
-0.058191,-0.094881,-0.015283
-0.055997,-0.093517,-0.015283
-0.055351,-0.094936,0.045834
-0.056981,-0.094964,-0.135501
-0.054656,-0.094992,0.060669
-0.053895,-0.09502,-0.015283
-0.051928,-0.095048,0.045834
-0.048637,-0.093684,0.045834
-0.050699,-0.093712,-0.15037
-0.049722,-0.09374,-0.000489
-0.046474,-0.092376,0.045834
-0.044656,-0.092404,0.045834
-0.044095,-0.092432,-0.015283
-0.042324,-0.09246,0.045834
-0.040588,-0.092488,0.045834
-0.042514,-0.092516,-0.135501
-0.040774,-0.092543,0.045834
-0.039069,-0.092571,0.045834
-0.037398,-0.092599,0.045834
-0.036983,-0.092627,-0.015283
-0.035354,-0.092655,0.045834
-0.037682,-0.092683,-0.15037
-0.034675,-0.091319,0.045834
-0.037017,-0.091347,-0.15037
-0.033727,-0.089983,0.060669
-0.033385,-0.090011,-0.015283
-0.033191,-0.09143,0.045834
-0.031638,-0.091458,0.045834
-0.031479,-0.092877,0.045834
-0.031183,-0.092905,-0.015283
-0.033296,-0.092933,-0.135501
-0.032668,-0.092961,-0.000489
-0.031125,-0.092989,0.045834
-0.029613,-0.093016,0.045834
-0.029058,-0.093044,-0.000489
-0.031214,-0.093072,-0.135501
-0.033624,-0.0931,-0.15037
-0.030402,-0.091736,0.060669
-0.032829,-0.091764,-0.15037
-0.031283,-0.091792,0.045834
-0.03099,-0.09182,-0.015283
-0.033405,-0.091848,-0.15037
-0.037135,-0.093267,-0.15037
-0.036725,-0.093295,-0.015283
-0.035101,-0.093323,0.045834
-0.039095,-0.094742,-0.165253
-0.037759,-0.09477,0.029072
-0.041402,-0.096189,-0.15037
-0.039685,-0.096217,0.045834
-0.041926,-0.096244,-0.15037
-0.04142,-0.096272,-0.015283
-0.039702,-0.0963,0.045834
-0.037722,-0.096328,0.060669
-0.036078,-0.096356,0.045834
-0.03569,-0.096383,-0.015283
-0.034086,-0.096411,0.045834
-0.033738,-0.096439,-0.015283
-0.036098,-0.096467,-0.15037
-0.035709,-0.096495,-0.015283
-0.035327,-0.096523,-0.015283
-0.033435,-0.09655,0.060669
-0.035801,-0.096578,-0.15037
-0.034195,-0.096606,0.045834
-0.037756,-0.096634,-0.210859
-0.037334,-0.096662,-0.015283
-0.035556,-0.095298,-0.015283
-0.033956,-0.095326,0.045834
-0.032091,-0.095354,0.060669
-0.035847,-0.096773,-0.15037
-0.032877,-0.09541,0.045834
-0.036618,-0.096829,-0.15037
-0.033633,-0.095465,0.045834
-0.031774,-0.095493,0.060669
-0.035536,-0.096912,-0.15037
-0.0353,-0.098331,0.045834
-0.033704,-0.098359,0.045834
-0.035768,-0.098387,-0.135501
-0.032799,-0.097024,0.045834
-0.033544,-0.098443,-0.000489
-0.031984,-0.09847,0.045834
-0.030455,-0.098498,0.045834
-0.028956,-0.098526,0.045834
-0.02871,-0.098554,-0.015283
-0.028469,-0.098582,-0.015283
-0.02701,-0.09861,0.045834
-0.025439,-0.097246,-0.015283
-0.025404,-0.098665,0.045834
-0.022347,-0.097302,0.060669
-0.026298,-0.098721,-0.15037
-0.030016,-0.098749,-0.210859
-0.030817,-0.100168,-0.000489
-0.029311,-0.100196,0.045834
-0.027835,-0.100224,0.045834
-0.024729,-0.09886,0.060669
-0.023204,-0.097497,-0.015283
-0.025774,-0.097524,-0.15037
-0.02437,-0.097552,0.045834
-0.02949,-0.098971,-0.210859
-0.034508,-0.100391,-0.210859
-0.036853,-0.100418,-0.15037
-0.033863,-0.099055,0.045834
-0.033518,-0.099083,-0.015283
-0.031959,-0.099111,0.045834
-0.033016,-0.10053,-0.015283
-0.036754,-0.101949,-0.15037
-0.039351,-0.101977,-0.165253
