x,y,z
-0.513636,0.842424,-0.422727
-0.522727,0.859091,-0.457576
-0.524242,0.865152,-0.471212
-0.521212,0.889394,-0.501515
-0.515152,0.904545,-0.521212
-0.493939,0.933333,-0.551515
-0.477273,0.948485,-0.565152
-0.430303,0.974242,-0.574242
-0.401515,0.984848,-0.574242
-0.334848,1.0,-0.560606
-0.295455,1.0,-0.55
-0.210606,0.989394,-0.516667
-0.165152,0.975758,-0.492424
-0.074242,0.925758,-0.431818
-0.033333,0.887879,-0.39697
0.025758,0.801515,-0.324242
0.039394,0.756061,-0.290909
0.054545,0.666667,-0.243939
0.056061,0.627273,-0.228788
0.05,0.563636,-0.207576
0.04697,0.539394,-0.20303
0.024242,0.493939,-0.193939
0.012121,0.477273,-0.189394
-0.016667,0.448485,-0.186364
-0.028788,0.436364,-0.186364
-0.048485,0.416667,-0.189394
-0.054545,0.410606,-0.190909
-0.066667,0.406061,-0.190909
-0.075758,0.412121,-0.189394
-0.095455,0.439394,-0.181818
-0.109091,0.462121,-0.172727
-0.143939,0.512121,-0.169697
-0.163636,0.539394,-0.171212
-0.210606,0.59697,-0.175758
-0.236364,0.657576,-0.190909
-0.284848,0.680303,-0.204545
-0.310606,0.730303,-0.233333
-0.357576,0.75,-0.25
-0.377273,0.789394,-0.289394
-0.415152,0.807576,-0.312121
