roll,xy_angle
1.555395,171.8694
1.547608,172.897598
1.55162,172.415787
1.551546,172.250946
1.539882,172.415787
1.539882,171.353531
1.536155,171.850204
1.532457,172.052689
1.532161,171.908768
1.52078,172.380203
1.516732,171.428909
1.513101,171.961105
1.509265,171.295364
1.497484,170.445328
1.489799,170.78447
1.501061,170.828049
1.399223,170.234955
1.455348,169.552826
1.459163,169.552826
1.451535,169.453156
1.451535,169.218979
1.5095,169.321472
1.396146,168.597916
1.427645,168.914902
1.289572,168.321945
1.422694,167.911652
1.429287,168.445007
1.270288,166.87767
1.236771,167.400482
1.313374,166.982239
1.317108,166.048355
1.318074,166.149658
1.297476,164.811707
1.276786,161.918701
1.264568,162.038788
1.24868,162.540298
1.230254,160.249969
1.224267,158.612991
1.208463,157.364899
1.189858,152.168381
1.176155,149.906769
1.169006,142.996964
1.1379,140.802887
1.12571,131.055008
1.11526,125.904587
1.106626,103.57254
1.085775,91.493225
1.063131,64.246147
1.054447,55.305477
1.047193,43.962811
1.037103,37.423588
1.017765,30.851006
0.992965,25.921661
0.992965,21.489277
0.964832,19.169739
0.953954,15.483763
0.925812,15.295805
0.920341,12.680152
0.897759,11.710156
0.887357,11.507754
0.875312,9.834218
0.867327,8.952076
0.850115,9.809962
0.855943,9.391627
0.842408,8.998199
0.839511,8.006239
0.842096,8.006239
0.834026,7.401597
0.834026,7.207831
0.823049,7.061004
0.820593,6.51114
0.803971,5.723127
0.798356,5.507999
0.7763,5.642365
0.754424,4.868281
0.756929,5.310688
0.745664,5.027339
0.743006,5.013399
0.720533,4.673068
0.704345,4.352815
0.6898,4.278658
0.681207,3.931449
0.671949,3.492821
0.644918,3.138268
0.625237,3.10354
0.60112,2.966251
0.585931,2.97715
0.579354,2.791233
0.572719,2.340152
0.5576,2.212733
0.547538,2.599604
0.541426,2.232374
0.530715,2.192391
0.520558,2.144239
0.515664,1.823568
0.510697,2.113319
0.496105,1.717792
0.474862,1.652086
0.460824,1.63667
0.441495,1.686008
0.435783,1.323363
0.423577,1.610841
0.394914,1.657827
0.372845,1.025317
0.349004,1.602953
0.341656,1.335243
0.340583,1.351378
0.311885,1.414248
0.303167,1.429547
0.294474,1.07174
0.278246,1.104894
0.288041,0.868823
0.273855,0.533825
0.259199,0.648412
0.236231,0.402986
0.221796,0.421433
0.201657,0.258878
0.184672,-0.04522
0.173733,-0.235887
0.159503,0.073787
0.151788,-0.153114
0.136304,-0.092955
0.125136,-0.331357
0.12563,-0.053729
0.129041,0.000426
0.133465,0.054126
0.109481,0.03834
0.102035,-0.175825
0.097704,-0.126711
0.089837,0.112196
0.070123,-0.084134
0.062221,-0.084134
0.066173,0.165964
0.05781,0.528531
0.054312,0.512376
0.054745,0.770168
0.058037,0.817951
0.022262,0.609147
0.018502,0.574721
0.026476,0.383791
0.014681,0.383791
0.022705,0.65525
0.022526,0.687763
0.014509,0.194494
0.018502,0.211425
0.006667,0.512978
0.010672,0.717624
0.006719,0.749855
-0.005242,0.764475
0.006746,1.216596
0.002767,0.79659
-0.001186,0.764475
-0.001181,1.018857
0.002756,1.216596
0.002767,1.000284
-0.001186,1.000284
0.002778,1.013825
-0.005138,0.968188
0.002767,0.981856
0.002778,1.235956
0.002756,0.981856
0.002767,1.268042
0.002778,0.981856
0.002767,0.764475
-0.00119,0.968188
0.002778,1.032379
-0.001181,1.000284
0.006693,1.032379
0.002767,1.032379
0.002756,0.981856
0.002767,0.764475
0.006746,1.018857
0.002756,1.000284
0.002778,1.051078
0.002767,0.782106
0.002756,0.778978
0.002767,1.216596
0.002756,1.235956
0.002767,0.74699
0.002767,1.000284
0.002767,0.73237
0.002767,0.981856
0.002756,1.268042
0.002767,0.749855
0.006719,1.000284
0.002767,1.032379
0.002778,0.968188
0.002756,1.248555
-0.001181,0.764475
-0.001181,1.203871
